src,dst,relationship,cost
Terziet,Uden,EROAD,68
't Heeske,Het Zand,EROAD,201
Thorn,Tirns,EROAD,338
Thull [nl],De Heul,EROAD,87
Thuserhof,Zelder,EROAD,127
Tienraij,Nijemirdum,EROAD,180
Tongerlo,Kamperzeedijk-West,EROAD,157
Tongerlo,Noordwijkerhout,EROAD,42
Trintelen,Tjalhuizum,EROAD,36
't Rooth,Beugt,EROAD,170
Tuindorp,IJpelo,EROAD,158
Tungelroy,Beek,EROAD,143
Tusschen de Bruggen,Molenveld,EROAD,49
't Vlut,Ruigahuizen,EROAD,368
Ubach over Worms,Kruisweg,EROAD,249
Ubachsberg,Plakkebord,EROAD,155
Uffelsen,Kadijk,EROAD,179
Ulestraten,Akmarijp,EROAD,36
Ulfterhoek,Sibbe,EROAD,266
Ulvend,Een,EROAD,376
Urmond,Empe,EROAD,319
Vaals,Plein,EROAD,84
Vaesrade,Epen,EROAD,213
Valkenburg,Struikberg,EROAD,303
Valkenhuizen,Sint Joost,EROAD,391
Veers,Westerzij,EROAD,164
Veld,West-Terschelling,EROAD,138
Velden,Opperburen,EROAD,77
Veld-Oostenrijk,Opijnen,EROAD,279
Veldschuur,Nieuwstadt,EROAD,173
Venlo,Hespelaar,EROAD,288
Venne,Schiermonnikoog,EROAD,94
Venray,Korengarst,EROAD,22
Ven-Zelderheide,Rimburg,EROAD,92
Vergelt,Stompwijk,EROAD,216
Veulen,Fiemel,EROAD,104
Viel,Gasselterboerveenschemond,EROAD,71
Vieruitersten,Heikant,EROAD,285
Vijlen,Drogt,EROAD,90
Vilgert,Groot-Ammers,EROAD,327
Vilt,Noordgouwe,EROAD,293
Vink,Numero Dertien,EROAD,124
Vinkepas,Oevereind,EROAD,339
Visserweert,Spaanrijt,EROAD,262
Vlaas,Neerbosch,EROAD,114
Vlengendaal,Paarlo,EROAD,355
Vliegert,Wielsche Hoeven,EROAD,374
Vlodrop,Biezen,EROAD,231
Vlodrop-Station,Achtmaal,EROAD,33
Voerendaal,Westmijzen,EROAD,31
Volen,Reth,EROAD,229
Voorst,Remmerden,EROAD,216
Voorste Hees,Achterste Heide,EROAD,301
Voorsterveld,Kallenbroek,EROAD,191
Voort,Molenpolder,EROAD,248
Vosberg,Rooth,EROAD,266
Voulwames,Waaxens ,EROAD,163
Vrakker,Westwoud,EROAD,72
Vrank,Acquoy,EROAD,213
Vredepeel,Ham,EROAD,201
Vrij,Wouw,EROAD,69
Vroelen,Berkhoek,EROAD,26
Vroenhof,Noordschans,EROAD,289
Vrusschemig,"Boornzwaag, Lit",EROAD,372
Waalbroek,Zeelberg,EROAD,388
Waatskamp,Terzool,EROAD,179
Waatskamperheide,Vinkwijk,EROAD,228
Wahlwiller,Leuken,EROAD,362
Waije,Westhoek,EROAD,30
Walem,Bullenkamp,EROAD,124
Wanssum,Waalwijk,EROAD,324
Waterop,De Kampen,EROAD,375
Waterval,Heitrak,EROAD,134
Waubach,Voorthuizen,EROAD,276
Weerd,Nijezijl,EROAD,332
Weert,Alphen-Oosterwijk,EROAD,161
Weert,Lapstreek,EROAD,140
Well,Wildervanksterdallen,EROAD,95
Wellerlooi,Graaf,EROAD,302
Welten,Sint-Michielsgestel,EROAD,233
Wessem,Hunsel,EROAD,304
Westbroek,Voorteind,EROAD,258
Weustenrade,Westenschouwen,EROAD,107
Weverslo,Kortland,EROAD,291
Wieën,Noordbarge,EROAD,144
Wielder,Helle,EROAD,274
Wielder,Doornik,EROAD,90
Wieler,Broekhoven,EROAD,258
Wijlre,Voordijk,EROAD,88
Wijnandsrade,Wilbertoord,EROAD,383
Winthagen,Wilsum,EROAD,300
Wintraak,Vensterburen,EROAD,190
Witdonk,Fraamklap,EROAD,375
Withuis,Hulst,EROAD,290
Wittem,De Kiel,EROAD,69
Wolder,Plaatsluis,EROAD,216
Wolfhaag,Slichtenhorst,EROAD,202
Wolfhagen,Eestrum ,EROAD,398
Wolfshuis,Maalstede,EROAD,288
Zandberg,Klinkenberg,EROAD,157
Zandberg,Gilze,EROAD,355
Zandhoek,De Schoolt,EROAD,355
Zeelberg,Homberg,EROAD,177
Zelder,Stavenisse,EROAD,127
Zelen,Foxholsterbosch,EROAD,259
Zittard,Rukven,EROAD,297
Zwanenheike,Hazeldonk,EROAD,270
Zwarteklef,Heieind,EROAD,235
Aalst,Hilvarenbeek,EROAD,392
Aarle,Horstermeer,EROAD,120
Aarle-Rixtel,Molenhof,EROAD,315
Abcoven,Ried,EROAD,382
Achterbosch,Oisterwijkse Hoeven,EROAD,369
Achterbosch,Breukelen,EROAD,335
Achterbroek,Zandfort,EROAD,219
Achterdijk,Wolfheze,EROAD,280
Achtereind,Vortum-Mullem,EROAD,158
Achterste Brug,Holtland,EROAD,344
Achterste Diesdonk,Klein-Oirlo,EROAD,358
Achterste Heide,Kaart,EROAD,207
Achterste Heikant,Sotterum,EROAD,280
Achterste Hermalen,De Wind,EROAD,160
Achterste Rith,Oostindië,EROAD,56
Achtmaal,Borgertange,EROAD,135
Akker,Vlierden,EROAD,220
Almkerk,Moorst,EROAD,66
Alphen,Straat,EROAD,220
Alphen-Oosterwijk,Laak,EROAD,210
Alvershool,Zalné,EROAD,360
Andel,Hoogblokland,EROAD,30
Anneville,De Kraats,EROAD,108
Arendnest,Aagtekerke,EROAD,237
Asten,Molenstraat,EROAD,385
Baarle-Nassau,Kleine Kolonie,EROAD,36
Baarle-Nassau-grens,Horn,EROAD,138
Baarschot,Dalem,EROAD,181
Baarschot,Hauwert,EROAD,347
Baarschot,Raar,EROAD,375
Babyloniënbroek,'s-Heerenberg,EROAD,311
Bakel,Schreierswijk,EROAD,365
Bakelsebrug,Donkervliet,EROAD,29
Bakertand,West-Souburg,EROAD,184
Balleman,Bussereind,EROAD,187
Bankert,Hatenboer,EROAD,330
Barlaque,Bouchauterhaven,EROAD,30
Bavel,Gouden Ploeg,EROAD,205
Bedaf,Hulhuizen,EROAD,75
Beek en Donk,Grote Kolonie,EROAD,159
Beemdkant,Westerhoven,EROAD,59
Beers,Delden,EROAD,182
Behelp,Gorssel,EROAD,160
Bekelaar,Cellemuiden,EROAD,224
Belgeren,Oolde,EROAD,282
Belvert,Kaag,EROAD,97
Bemmer,Kronenberg,EROAD,270
Benedeneind,Mun,EROAD,396
Benthem,Kasen,EROAD,194
Berenbroek,Tjoene,EROAD,381
Berg,Achterste Diesdonk,EROAD,309
Bergeijk,Genum ,EROAD,316
Bergen op Zoom,Dwarsdiep,EROAD,300
Bergenshuizen,Venweg,EROAD,374
Berghem,Sevenum,EROAD,297
Berkeind,Gouwe,EROAD,251
Berkeindje,Dijkmanshuizen,EROAD,379
Berkel-Enschot,De Falom ,EROAD,106
Berkhoek,Oppenhuizen,EROAD,241
Berkhoek,Ankeveen,EROAD,296
Berkt,Kruiselwerk,EROAD,222
Berkt,'s-Heerenhoek,EROAD,301
Berlicum,Buttinge,EROAD,290
Besselaar,Spaubeek,EROAD,246
Best,Groot-Abeele,EROAD,214
Beugen,Hoog Spul,EROAD,312
Beugt,Wolbert,EROAD,339
Beukelaar,Vlagberg,EROAD,74
Biesthoek,Loobeek,EROAD,185
Biest-Houtakker,Niftrik,EROAD,107
Biestraat,Middenbeemster,EROAD,158
Biezenheuvel,Eursinge,EROAD,90
Biezenmortel,Tritzum,EROAD,26
Bijsterveld,Wissekerke,EROAD,40
Binnen-Moerdijk,IJsselmuiden,EROAD,277
Bladel,Hulten,EROAD,200
Blauwenhoek,Het Beggelder,EROAD,233
Blauwe Sluis,Andelst,EROAD,233
Blauwe Sluis,Craailo,EROAD,206
Bleijs,Blokzijl,EROAD,378
Boeiink,Zoelmond,EROAD,194
Boekel,Baarstraat,EROAD,110
Boerdonk,Overheicop,EROAD,336
Bokhoven,Hulsen,EROAD,238
Boksheide,Asch,EROAD,168
Bokt,Colmschate,EROAD,252
Bolberg,Blije ,EROAD,42
Bolberg,Muggenhol,EROAD,279
Bolst,Retersbeek,EROAD,125
Boomen,Pannerden,EROAD,117
Boompjesdijk,Husken,EROAD,206
Boord,Boornbergum,EROAD,164
Borkel,Kerkeburen,EROAD,33
Borne,Strijp,EROAD,57
Borneo,Middendorp,EROAD,388
Borteldonk,Oude Waranda,EROAD,115
Bosch,Middelburen,EROAD,187
Boscheind,Kruisschot,EROAD,174
Boschhoven,Molenvliet,EROAD,273
Boschhoven,Sint Annaland,EROAD,59
Boschkens,Nieuwklap,EROAD,210
Boshoven,Boekel,EROAD,340
Boshoven,Broekkant,EROAD,287
Boskant,Coevorden,EROAD,387
Boslust,Kockengen,EROAD,333
Bosschenhoofd,Zuidhorn,EROAD,229
Boterwijk,Klutsdorp,EROAD,191
Boveneind,Midden-Eierland,EROAD,69
Bovensluis,Allingawier,EROAD,36
Bovenstehuis,Zeijerveld,EROAD,254
Boxmeer,Vosseneind,EROAD,57
Boxtel,Zundert,EROAD,313
Braakhoek,Tweede Vlotbrug,EROAD,64
Braambosch,Roden,EROAD,81
Brakel,Kopstukken,EROAD,372
Brand,Grathem,EROAD,40
Breda,Sneek,EROAD,380
Breedschot,Waarder,EROAD,177
Breehees,Baarle-Nassau,EROAD,370
Breemortel,Lheebroek,EROAD,187
Brem,Loenen,EROAD,213
Brembosch,Assen,EROAD,259
Breugel,Geldermalsen,EROAD,231
Broek,De Haukes,EROAD,49
Broekenseind,De Berk,EROAD,273
Broekhoven,Hof,EROAD,209
Broekkant,Loosbroek,EROAD,181
Broekkant,Schoonhoven,EROAD,202
Broekkant,Broekoord,EROAD,167
Broekkant,Termaar,EROAD,115
Broekzijde,Haule,EROAD,214
Bronkhorst,Sterrenberg,EROAD,331
Bruggen,Warniahuizen,EROAD,213
Bruggen,Westmaas,EROAD,340
Bruggerhuizen,Hardegarijp ,EROAD,68
Budel,Bloemendaal,EROAD,353
Budel-Dorplein,Hiept,EROAD,63
Budel-Schoot,Zijpersluis,EROAD,180
Bulkenaar,Dijkhoek,EROAD,165
Burgt,Het Sas,EROAD,100
Bus,Beemte,EROAD,141
Bus,Roderwolde,EROAD,55
Bussel,Leusden,EROAD,320
Buurtje,Abbekinderen,EROAD,174
Calfven,Niehove,EROAD,30
Castelré,Hoensbroek,EROAD,146
Casteren,Utrecht,EROAD,155
Chaam,Walsert,EROAD,229
Chaamdijk,De Bramert,EROAD,329
Couwelaar,Wijtgaard,EROAD,316
Cranendonck,Het Beijersche,EROAD,147
Crèvecoeur,Groote Horst,EROAD,261
Cromvoirt,Achterbosch,EROAD,232
Croy,Ommeren,EROAD,332
Cuijk,Achterdrempt,EROAD,310
Dalem,Tweesluizen,EROAD,24
Dassemus,Hondseind,EROAD,286
De Aa,Stabrecht,EROAD,79
De Aa,Breeveld,EROAD,99
De Baan,Graswijk,EROAD,113
De Beek,Nauerna,EROAD,192
De Berg,Zweth,EROAD,107
De Bergen,Donk,EROAD,354
De Berk,Makkinga,EROAD,144
De Berken,Heidenhoek,EROAD,29
De Biezen,Oosterwijk,EROAD,276
De Bocht,Berghum,EROAD,300
De Boer,Marolleput,EROAD,331
De Bolt,Velswijk,EROAD,201
De Bus,Retranchement,EROAD,273
De Bus,Haaldersbroek,EROAD,314
De Dellen,Bredevoort,EROAD,86
De Dood,Voorwerk,EROAD,281
De Druif,Welsumerveld,EROAD,163
De Elft,'t Hoekske,EROAD,360
Deelse Kampen,De Kooy,EROAD,214
Deelshurk,Mander,EROAD,245
Deense Hoek,Opwetten,EROAD,191
De Gagel,Noordeloos,EROAD,253
De Heen,Breedeweg,EROAD,41
De Hees,Zanegeest,EROAD,63
De Heiberg,Loil,EROAD,252
De Heuvel,Lage Vuursche,EROAD,146
De Hoef,Kerkdriel,EROAD,31
De Hoef,Halfweg,EROAD,312
De Hoef,Sint Maarten,EROAD,143
De Hoef,Marknesse,EROAD,266
De Hoef,Aan de Popelaar,EROAD,244
De Hoek,De Donk,EROAD,253
De Hoeven,Ubbena,EROAD,181
De Hogert,Holten,EROAD,154
De Huften,Middendorp,EROAD,305
De Hutten,Hoogriebroek,EROAD,136
De Kampkens,Weilenseind,EROAD,356
De Kapel,Ginderdoor,EROAD,348
De Kraan,Schin op Geul,EROAD,239
De Laan,Plankendorp,EROAD,294
De Laren,Roodewijk,EROAD,215
De Lent,Waarde,EROAD,343
De Logt,Zuiderend,EROAD,168
De Loo,Blokum,EROAD,253
De Loofaert,Schillaard,EROAD,87
Demen,Monnikendijk,EROAD,72
De Moer,Den Ham,EROAD,190
De Mortel,Middelburg,EROAD,326
Den Berg,Harlingen,EROAD,68
Den Dungen,Veldhoek,EROAD,250
Den Hoek,Venhuizen,EROAD,261
Den Hout,Nieuwenhoorn,EROAD,61
Den Opslag,Zevenhuizen,EROAD,117
De Overval,Noordeinde,EROAD,368
De Pan,Willemstad,EROAD,310
De Plaats,Behelp,EROAD,302
De Posthoorn,Lutten,EROAD,353
De Rijtjes,Steelhoven,EROAD,94
De Rips,Baarderburen,EROAD,166
De Rotting,Groenekan,EROAD,351
De Schietbaan,Tereyken,EROAD,59
Deurne,Hei,EROAD,213
Deursen-Dennenburg,Ermelo,EROAD,367
Deuteren,Drogeham,EROAD,306
De Vleut,Siberië,EROAD,89
De Voorstad,Zuidzande,EROAD,230
De Vorst,Oekel,EROAD,341
De Weijer,'t Zand,EROAD,339
De Wind,Klein Medhuizen,EROAD,123
De Wolfsputten,Oosterhuizen,EROAD,388
Dieden,Vaareind,EROAD,78
Diepenbroek,'t Villeken,EROAD,144
Diessen,Driebergen-Rijsenburg,EROAD,144
Dijk,Boompjesdijk,EROAD,221
Dijk,Boshoven,EROAD,57
Dinteloord,Zandeind,EROAD,387
Dintelsas,Winde,EROAD,364
Dinther,Lattrop,EROAD,194
Dinthersehoek,Slootdorp,EROAD,206
Distelberg,Vrilkhoven,EROAD,70
Diunt,Vechten,EROAD,147
Doeveren,Driehuizen,EROAD,349
Dommelen,Randenburg,EROAD,103
Dommelsvoort,Haneburen,EROAD,153
Dongen,Steenwijkerwold,EROAD,113
Donk,De Zande,EROAD,186
Donkersvoort,Roelshoek,EROAD,214
Donzel,Kleeberg,EROAD,154
Doonheide,Vierpolders,EROAD,20
Doornhoek,Bleiswijk,EROAD,112
Doornhoek,Gouderak,EROAD,270
Dorshout,De Haspel,EROAD,365
Dorst,Bijsteren,EROAD,177
Drie Hoefijzers,Kortezwaag,EROAD,385
Driehoek,Etsberg,EROAD,332
Driehoek,Schei,EROAD,391
Driehoek,Heldensedijk,EROAD,207
Driehoek,Hooibergen,EROAD,142
Driehuis,Eursinge,EROAD,224
Driehuizen,Venekoten,EROAD,320
Driehuizen,Baars,EROAD,256
Driehuizen,Effen,EROAD,381
Driehuizen,Calfven,EROAD,375
Drimmelen,Tragel,EROAD,210
Drongelen,Kralingse Veer,EROAD,20
Druisdijk,Heide,EROAD,250
Drunen,Stenenheul,EROAD,260
Duifhuis,Lange Hout,EROAD,157
Duifhuis,Tholen,EROAD,177
Duiksehoef,Haler,EROAD,55
Duizel,Oetelaar,EROAD,243
Duizend Morgen,Kruisberg,EROAD,205
Dun,Delden,EROAD,271
Dussen,Heenvliet,EROAD,126
Duurendseind,Houtdorp,EROAD,135
Eeneind,De Engel,EROAD,116
Eerde,Mekkelhorst,EROAD,31
Eersel,Wissel,EROAD,233
Eethen,Bergum ,EROAD,200
Effen,Waterlandkerkje,EROAD,161
Egypte,Kolhol,EROAD,46
Eikberg,Noord-Stegeren,EROAD,382
Eikelenbosch,Sandenburg,EROAD,341
Eikenheuvel,Rustenburg,EROAD,154
Eiland,Meijsberg,EROAD,103
Eind,Terwisscha,EROAD,371
Eind,Tusschenloegen,EROAD,103
Eindhoven,Kelpen,EROAD,82
Eindje,Sint Anthoniepolder,EROAD,195
Eind van Den Hout,Broeke,EROAD,219
Elde,Keizerrijk,EROAD,238
Elsendorp,Winneweer,EROAD,181
Elshout,Spijk,EROAD,222
Elst,Goessche Sas,EROAD,44
Empel,Houtens,EROAD,270
Eng,Leeuwte,EROAD,146
Engelen,Keijenborg,EROAD,237
Erp,Baflo,EROAD,152
Esbeek,Lisserbroek,EROAD,145
Esch,Tronde,EROAD,52
Escharen,Klooster,EROAD,202
Esdonk,De Folgeren,EROAD,351
Esp,Zomerdijk,EROAD,31
Etten-Leur,Penningsveer,EROAD,323
Euvelwegen,Barger-Compascuum,EROAD,197
Evenheuvel,De Klei,EROAD,334
Everland,Bernsterburen,EROAD,99
Everse,Brand,EROAD,54
Ewinkel,Zevenhuizen,EROAD,138
Fijnaart,Kromme Mijdrecht,EROAD,191
Fokkershoek,Emmer-Erfscheidenveen,EROAD,234
Franse Hoef,Moeren,EROAD,146
Gaete,Nieuwe-Tonge,EROAD,90
Galder,Mataram,EROAD,336
Gassel,Keutenberg,EROAD,301
Gastel,Wittewierum,EROAD,113
Gastelsveer,Knegsel,EROAD,254
Gebergte,Valkenheide,EROAD,191
Geeneind,De Horn,EROAD,143
Geersbroek,Sint Kruis,EROAD,234
Geertruidenberg,Ter Aard,EROAD,40
Geffen,Pernis,EROAD,264
Geldrop,Frytum,EROAD,209
Gement,Trophorne,EROAD,400
Gemert,Laag-Soeren,EROAD,293
Gemonde,Osingahuizen,EROAD,238
Genderen,Val,EROAD,111
Geneneind,Rien,EROAD,146
Gennep,De Schiphorst,EROAD,186
Genoenhuis,Stalberg,EROAD,337
Gerwen,Landsmeer,EROAD,345
Gever,Twijzel,EROAD,73
Gewande,Yde,EROAD,169
Giessen,Lenthe,EROAD,364
Gijzel,Biddinghuizen,EROAD,215
Gijzenrooi,Den Burg,EROAD,39
Gilze,Abcoven,EROAD,360
Ginderdoor,Kiesterzijl,EROAD,30
Ginderdoor,De Rietschoof,EROAD,205
Ginderover,Uitwijk,EROAD,397
Goor,Tappersheul,EROAD,325
Gorp,Boekhorst,EROAD,84
Gorpeind,Tilligte,EROAD,167
Graspeel,Kalenberg,EROAD,294
Grave,Glane,EROAD,273
Grazen,Peizerwold,EROAD,64
Groenendijk,Termunten,EROAD,307
Groenewoud,Halfweg,EROAD,270
Groene Woud,Nieuw-Reemst,EROAD,234
Groeningen,Hoogwoud,EROAD,53
Groenstraat,Achterbosch,EROAD,338
Groot-Bedaf,Essen,EROAD,68
Groot Bruggen,Beuningen,EROAD,122
Groote Bottel,Eembrugge,EROAD,166
Groote Hoeven,Kamperzeedijk-Oost,EROAD,335
Groot Loo,Nibbixwoud,EROAD,134
Grotel,Tonnekreek,EROAD,123
Grote Voort,De Schutterij,EROAD,340
Haanwijk,Sint-Oedenrode,EROAD,42
Haaren,Weerwille,EROAD,21
Haarsteeg,Oost-Souburg,EROAD,22
Haart,Strooienstad,EROAD,212
Haghorst,Oud Verlaat,EROAD,394
Haiink,Palestina,EROAD,108
Hal,Berenbroek,EROAD,30
Halder,Bosschenhoofd,EROAD,74
Halfmijl,De Kampkens,EROAD,217
Halsteren,Steenoven,EROAD,209
Halte,Marssum,EROAD,272
Ham,Hoogbroek,EROAD,329
Ham,Tichelwerk,EROAD,276
Handel,Weende,EROAD,384
Hanenberg,Kraaienburg,EROAD,268
Hank,De Heid,EROAD,64
Hank,Rhee,EROAD,264
Hapert,Niemeskant,EROAD,93
Haps,Kesseleik,EROAD,160
Haren,Leo-Stichting,EROAD,191
Haring,Donkerbroek,EROAD,132
Havelt,Mesch,EROAD,350
Hazelaar,Wolder,EROAD,166
Hazelberg,Schoordijk,EROAD,217
Hazeldonk,Remswerd,EROAD,158
Hazenhurk,Terhofstede,EROAD,253
Hazennest,Teeffelen,EROAD,65
Hedel,Locht,EROAD,129
Hedikhuizen,Middelkoop,EROAD,247
Heensche Molen,Deldeneresch,EROAD,159
Heereind,Noord-Meer,EROAD,322
Heerendonk,Crob,EROAD,399
Heerle,Nederwoud,EROAD,370
Heers,Geertruidenberg,EROAD,20
Heerstaaien,Santpoort-Zuid,EROAD,255
Heesakker,Niersen,EROAD,177
Heesbeen,Schoonoord,EROAD,242
Heesboom,Brammelo,EROAD,153
Heesch,Junne,EROAD,356
Heeseind,Vrank,EROAD,316
Heeswijk,Ransdorp,EROAD,161
Heeswijk,Appen,EROAD,400
Heeze,Lede en Oudewaard,EROAD,380
Heezerenbosch,Hansweert,EROAD,344
Heiderschoor,Veenhuizen,EROAD,311
Heidveld,Horssen,EROAD,263
Heieind,Maemert,EROAD,208
Heieind,"Bong, Maasbree",EROAD,200
Heieind,Westbeemster,EROAD,357
Heiereind,Barrier,EROAD,293
Heihoefke,Oudendijk,EROAD,238
Heihoek,Heikant,EROAD,158
Heijbeek,Van Ewijcksluis,EROAD,393
Heijningen,Dalem,EROAD,267
Heikant,Kapel,EROAD,339
Heikant,Californië,EROAD,315
Heikant,Groningen,EROAD,301
Heikant,Zandberg,EROAD,207
Heikant,Boerenhoek,EROAD,268
Heikant,Waatskamp,EROAD,234
Heikant,Zijp,EROAD,53
Heikant,Puth,EROAD,278
Heikant,Amstelveen,EROAD,132
Heikant,Bovenstehuis,EROAD,174
Heikant,Mennonietenbuurt,EROAD,313
Heikant,Geverik,EROAD,321
Heikant,Barnflair,EROAD,283
Heikant,Stolpen,EROAD,348
Heikant,Westergeest,EROAD,233
Heikant,Herwen,EROAD,53
Heikant,Driemolens,EROAD,116
Heikant,Willige Langerak,EROAD,399
Heikantse Hoeve,Beers,EROAD,263
Heiligeboom,Boudewijnskerke,EROAD,286
Heimolen,Dijkerhoek,EROAD,378
Heimolen,Heerewaarden,EROAD,174
Heische Wal,Idserdaburen,EROAD,104
Heistraat,Sellingen,EROAD,381
Heistraat,Heeze,EROAD,69
Heitrak,Ottersum,EROAD,218
Helbroek,Liempde,EROAD,158
Helenaveen,Theetuin,EROAD,361
Helkant,Mariahoop,EROAD,278
Hellegat,Groenstraat,EROAD,336
Helleneind,Kamp,EROAD,88
Helmond,Bonrepas,EROAD,46
Helvoirt,Westerhaar-Vriezenveensewijk,EROAD,315
Helwijk,Burghsluis,EROAD,75
Hengstheuvel,Hooge Zwaluwe,EROAD,98
Hermalen,Abshoven,EROAD,230
Herpen,Castricum aan Zee,EROAD,291
Herpt,IJsselsteyn,EROAD,101
Hersel,Keent,EROAD,97
Hersend,Noord-Spierdijk,EROAD,226
Hespelaar,De Wopereis,EROAD,228
Het Bosch,Ooltgensplaat,EROAD,72
Het Broek,Ureterp aan de Vaart,EROAD,112
Het Goordonk,Tiendeveen,EROAD,182
Het Heike,Beverwijk,EROAD,215
Het Hoekske,Rheden,EROAD,108
Het Hool,Heeseind,EROAD,333
Het Laar,Brem,EROAD,373
Het Oosteind,Zwanenheike,EROAD,209
Het Sas,Schagerbrug,EROAD,377
Het Wild,Donzel,EROAD,386
Het Zand,Lakemond,EROAD,358
Heukelom,Cuijk,EROAD,278
Heusden,Abdissenbosch,EROAD,52
Heusden,Kavelingen,EROAD,338
Heuvel,Vooreind,EROAD,329
Heuvel,Ter Heijde,EROAD,67
Heuvel,De Meern,EROAD,289
Heuvelberg,De Kouk,EROAD,171
Heuvelstraat,De Horst,EROAD,140
Heuveltje,Weipoort,EROAD,128
Hezelaar,Wolvega,EROAD,308
Hezelaar,Gorpeind,EROAD,64
Hilakker,'t Laar,EROAD,208
Hild,Stolpervlotbrug,EROAD,36
Hill,Oosterbroek,EROAD,107
Hilvarenbeek,Eesveen,EROAD,190
Hoefkens,Oud-Sabbinge,EROAD,278
Hoek,Zijldijk,EROAD,139
Hoek,Hengelo,EROAD,288
Hoek,Bato's Erf,EROAD,53
Hoekdries,Wadenoijen,EROAD,129
Hoekeinde,Oostdijk,EROAD,374
Hoekske,Hoogen-Aarle,EROAD,72
Hoeve,Haaksbergen,EROAD,115
Hoeven,Doornsteeg,EROAD,229
Hoeven,De Krim,EROAD,74
Hoeven,Blaaksedijk,EROAD,275
Hoeves,Herkenbosch,EROAD,336
Hoevestein,Nuijeneind,EROAD,264
Hollandsdiep,Lies,EROAD,142
Holthees,Kerensheide,EROAD,138
Hommelse Hoeven,Eikelhof,EROAD,70
Hondseind,Amsterdam,EROAD,150
Hoogcasteren,Schouw,EROAD,39
Hooge Aard,Fochteloo,EROAD,84
Hooge Berkt,Medemblik,EROAD,185
Hoogebiezen,Benedenheul,EROAD,346
Hooge Heide,Neck,EROAD,359
Hoogeind,Mijnheerkens,EROAD,151
Hoogeind,Wirdumerdraai,EROAD,49
Hoogeind,Kraloo,EROAD,180
Hoogeind,Simonshaven,EROAD,322
Hoogeind,Klein Groningen,EROAD,225
Hoogeloon,De Hem,EROAD,246
Hooge Mierde,Valthermussel,EROAD,312
Hoogen-Aarle,Dieverbrug,EROAD,367
Hoogerheide,Uitgeest,EROAD,101
Hooge Wijst,'s-Heer Hendrikskinderen,EROAD,187
Hooge Zwaluwe,Zethuis,EROAD,186
Hooghout,Meerten,EROAD,211
Hoog Spul,Exel,EROAD,205
Hoogstraat,Ritthem,EROAD,39
Hoogveld,Slappeterp,EROAD,123
Hooidonk,Oost-Vlieland,EROAD,325
Hool,Halfeind,EROAD,36
Horst,Hieslum,EROAD,386
Horzik,Doornhoek,EROAD,222
Hout,Heidveld,EROAD,318
Houtens,Vledder,EROAD,111
Houterd,Gaastmeer,EROAD,175
Houtgoor,Nijeholtwolde,EROAD,364
Hugten,Haulerwijk,EROAD,206
Huij,Het Reidland,EROAD,203
Huijbergen,Joure,EROAD,306
Huisseling,Blankenberg,EROAD,272
Huisvennen,Nieuw-Wehl,EROAD,64
Huize Padua,Oudedijk,EROAD,343
Hulsbeek,Gelderse Buurt,EROAD,384
Hulsdonk,Katershorn,EROAD,183
Hulsel,Anna Paulowna,EROAD,343
Hulten,Lierhand,EROAD,68
Hultje,'t Woudt,EROAD,215
Hurkske,Prosperdorp,EROAD,333
Huygevoort,Bulkenaar,EROAD,140
IJpelaar,Hild,EROAD,78
Kaarschot,Hommert,EROAD,265
Kaathoven,Havelte,EROAD,384
Kaatsheuvel,Zandkant,EROAD,247
Kade,Zuidbuurt,EROAD,79
Kalishoek,Diever,EROAD,203
Kameren,Teuge,EROAD,59
Kantje,Ameide,EROAD,209
Kapeleind,Putselaar,EROAD,70
Karstraat,Puiflijk,EROAD,328
Kasteren,Wijgeest,EROAD,230
Kattenberg,Sliedrecht,EROAD,152
Kattenbosch,Den Hoorn,EROAD,121
Katwijk,Stokske,EROAD,328
Kaweide,Westerbork,EROAD,247
Keent,Barlo,EROAD,108
Keizershoek,Reijerscop,EROAD,228
Keldonk,Haelensche Broek,EROAD,131
Kerkeind,Kerkenveld,EROAD,202
Kerkeind,Ressen,EROAD,159
Kerkeind,Nieuw-Dordrecht,EROAD,353
Kerkeinde,Westdorpe,EROAD,329
Kerkhof,Abbewier,EROAD,208
Keske,Wekerom,EROAD,377
Kessel,Barlaque,EROAD,136
Keunenhoek,Werkhoven,EROAD,283
Kievitswaard,Beek en Donk,EROAD,28
Kijkuit,Meeuwen,EROAD,68
Kille,Den Treek,EROAD,309
Kinderbos,Nieuw-Milligen,EROAD,331
Kippereind,Stokkum,EROAD,295
Kivitsbraak,Duivendrecht,EROAD,340
Kladde,Meteren,EROAD,390
Klef,Oosterhout,EROAD,66
Klein-Bedaf,Harselaar,EROAD,59
Klein Bruggen,Op den Bosch,EROAD,55
Kleinder-Liempde,Snippeling,EROAD,158
Klein-Dongen,Varsseveld,EROAD,317
Kleine Bottel,Asenray,EROAD,309
Kleine Koolwijk,Ureterperverlaat,EROAD,296
Kleine Voort,Snijders-Chaam,EROAD,267
Klein Loo,Den Huizen,EROAD,334
Klein-Oekel,Terdiek,EROAD,95
Klein-Schoot,Vuurbaken,EROAD,201
Klein-Vortum,Witdonk,EROAD,389
Klein-Zundert,Gemert,EROAD,226
Kleuter,Tin,EROAD,340
Klooster,Waver,EROAD,157
Kloostereind,Vierhuizen,EROAD,153
Klundert,Kortgene,EROAD,261
Klutsdorp,Westeinde,EROAD,243
Knegsel,Vetterik,EROAD,92
